,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
3143,536602,71053,WHITE METAL LANTERN,5,2010-12-02 08:34:00,3.39,17850.0,United Kingdom
3188,536607,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2010-12-02 09:29:00,2.95,17732.0,United Kingdom
3192,536609,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-02 09:41:00,2.55,17850.0,United Kingdom
3193,536609,71053,WHITE METAL LANTERN,4,2010-12-02 09:41:00,3.39,17850.0,United Kingdom
3224,536612,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2010-12-02 09:44:00,2.55,17850.0,United Kingdom
3225,536612,71053,WHITE METAL LANTERN,4,2010-12-02 09:44:00,3.39,17850.0,United Kingdom
3425,536628,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-02 10:54:00,2.55,17850.0,United Kingdom
3426,536628,71053,WHITE METAL LANTERN,6,2010-12-02 10:54:00,3.39,17850.0,United Kingdom
3443,536630,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-12-02 10:56:00,2.55,17850.0,United Kingdom
3444,536630,71053,WHITE METAL LANTERN,9,2010-12-02 10:56:00,3.39,17850.0,United Kingdom
3808,536685,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2010-12-02 12:23:00,2.55,17850.0,United Kingdom
3809,536685,71053,WHITE METAL LANTERN,9,2010-12-02 12:23:00,3.39,17850.0,United Kingdom
3823,536690,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2010-12-02 12:25:00,2.55,17850.0,United Kingdom
3824,536690,71053,WHITE METAL LANTERN,6,2010-12-02 12:25:00,3.39,17850.0,United Kingdom
4154,536749,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-12-02 13:49:00,2.95,17976.0,United Kingdom
4161,536750,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2010-12-02 14:04:00,2.55,17850.0,United Kingdom
4162,536750,71053,WHITE METAL LANTERN,7,2010-12-02 14:04:00,3.39,17850.0,United Kingdom
4182,536752,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2010-12-02 14:06:00,2.55,17850.0,United Kingdom
4183,536752,71053,WHITE METAL LANTERN,10,2010-12-02 14:06:00,3.39,17850.0,United Kingdom
4336,536763,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2010-12-02 14:42:00,2.95,17685.0,United Kingdom
4510,536787,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2010-12-02 15:24:00,2.55,17850.0,United Kingdom
4511,536787,71053,WHITE METAL LANTERN,2,2010-12-02 15:24:00,3.39,17850.0,United Kingdom
4526,536790,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2010-12-02 15:26:00,2.95,17850.0,United Kingdom
4527,536790,71053,WHITE METAL LANTERN,15,2010-12-02 15:26:00,3.39,17850.0,United Kingdom
4562,536795,85123A,WHITE HANGING HEART T-LIGHT HOLDER,36,2010-12-02 15:40:00,2.55,15640.0,United Kingdom
4936,536824,85123A,WHITE HANGING HEART T-LIGHT HOLDER,161,2010-12-02 17:24:00,2.55,13798.0,United Kingdom
4959,536833,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-02 17:48:00,2.95,18239.0,United Kingdom
4967,536833,71053,WHITE METAL LANTERN,7,2010-12-02 17:48:00,3.75,18239.0,United Kingdom
5041,536837,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2010-12-02 18:15:00,2.95,14395.0,United Kingdom
5304,536857,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2010-12-03 10:33:00,2.95,16883.0,United Kingdom
5336,536859,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-12-03 10:43:00,2.95,12841.0,United Kingdom
5476,536863,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2010-12-03 11:19:00,2.95,17967.0,United Kingdom
5658,536865,71053,WHITE METAL LANTERN,-2,2010-12-03 11:28:00,8.47,,United Kingdom
6118,536876,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-12-03 11:36:00,5.91,,United Kingdom
6759,536976,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,2010-12-03 14:18:00,2.95,14723.0,United Kingdom
7037,536987,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2010-12-03 14:54:00,2.95,17198.0,United Kingdom
7171,536993,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-12-03 15:19:00,2.95,14396.0,United Kingdom
7536,537044,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-05 10:52:00,2.95,18055.0,United Kingdom
7583,537046,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2010-12-05 10:58:00,2.95,18109.0,United Kingdom
7707,537051,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0,2010-12-05 11:12:00,2.95,15708.0,United Kingdom
7711,537051,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-05 11:12:00,2.95,15708.0,United Kingdom
7764,537054,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-3,2010-12-05 11:40:00,2.95,16931.0,United Kingdom
7771,537054,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-05 11:40:00,2.95,16931.0,United Kingdom
7793,537055,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2010-12-05 11:45:00,2.95,16814.0,United Kingdom
8067,537126,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-4,2010-12-05 12:13:00,2.95,18118.0,United Kingdom
8162,537127,85123A,WHITE HANGING HEART T-LIGHT HOLDER,126,2010-12-05 12:13:00,2.55,13831.0,United Kingdom
8560,537138,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-12-05 12:44:00,2.95,17211.0,United Kingdom
8730,537144,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-05 13:00:00,2.95,15880.0,United Kingdom
9673,537210,85123A,WHITE HANGING HEART T-LIGHT HOLDER,33,2010-12-05 15:15:00,2.55,15953.0,United Kingdom
10040,537224,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2010-12-05 16:24:00,2.95,13174.0,United Kingdom
10696,537237,71053,WHITE METAL LANTERN,-1,2010-12-06 09:58:00,8.47,,United Kingdom
10769,537237,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0,2010-12-06 09:58:00,5.91,,United Kingdom
10833,537239,71053,WHITE METAL LANTERN,-1,2010-12-06 10:05:00,3.75,18219.0,United Kingdom
10839,537239,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-12-06 10:05:00,2.95,18219.0,United Kingdom
11281,537240,71053,WHITE METAL LANTERN,-2,2010-12-06 10:08:00,8.47,,United Kingdom
11348,537240,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2010-12-06 10:08:00,5.91,,United Kingdom
11441,537242,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-06 10:19:00,2.95,14748.0,United Kingdom
11775,537301,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2010-12-06 11:38:00,2.95,15860.0,United Kingdom
11810,537332,85123A,WHITE HANGING HEART T-LIGHT HOLDER,25,2010-12-06 11:58:00,2.95,14344.0,United Kingdom
11818,537334,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-06 12:06:00,2.95,16719.0,United Kingdom
12567,537387,71053,WHITE METAL LANTERN,5,2010-12-06 13:34:00,3.75,13468.0,United Kingdom
12574,537388,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2010-12-06 13:35:00,2.95,17682.0,United Kingdom
12701,537393,85123A,WHITE HANGING HEART T-LIGHT HOLDER,33,2010-12-06 13:59:00,2.55,13089.0,United Kingdom
12740,537395,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-06 14:05:00,2.95,15356.0,United Kingdom
12885,537400,71053,WHITE METAL LANTERN,-3,2010-12-06 14:36:00,3.75,17191.0,United Kingdom
12896,537400,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2010-12-06 14:36:00,2.95,17191.0,United Kingdom
13105,537419,85123A,WHITE HANGING HEART T-LIGHT HOLDER,28,2010-12-06 15:14:00,2.55,13495.0,United Kingdom
13214,537424,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2010-12-06 15:35:00,2.95,15602.0,United Kingdom
13789,537434,71053,WHITE METAL LANTERN,-1,2010-12-06 16:57:00,8.47,,United Kingdom
13873,537434,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,2010-12-06 16:57:00,5.91,,United Kingdom
14051,537446,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2010-12-07 09:13:00,2.95,18055.0,United Kingdom
14087,537457,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2010-12-07 09:51:00,2.55,17511.0,United Kingdom
14112,537460,85123A,WHITE HANGING HEART T-LIGHT HOLDER,129,2010-12-07 10:04:00,2.55,17616.0,United Kingdom
14276,537484,85123A,WHITE HANGING HEART T-LIGHT HOLDER,28,2010-12-07 11:30:00,2.55,14733.0,United Kingdom
14328,537523,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2010-12-07 11:45:00,2.95,14176.0,United Kingdom
14529,C537602,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-12-07 12:45:00,2.55,17511.0,United Kingdom
14597,537604,85123A,WHITE HANGING HEART T-LIGHT HOLDER,31,2010-12-07 13:01:00,2.55,13488.0,United Kingdom
14607,537605,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-07 13:13:00,2.95,16221.0,United Kingdom
14611,537606,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,2010-12-07 13:16:00,2.95,15002.0,United Kingdom
14642,537607,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2010-12-07 13:18:00,2.95,15965.0,United Kingdom
14719,537612,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2010-12-07 13:28:00,2.95,13769.0,United Kingdom
14789,537619,85123A,WHITE HANGING HEART T-LIGHT HOLDER,34,2010-12-07 13:53:00,2.55,13786.0,United Kingdom
15609,537638,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0,2010-12-07 15:28:00,5.91,,United Kingdom
15962,537642,71053,WHITE METAL LANTERN,-3,2010-12-07 15:33:00,8.47,,United Kingdom
16246,537646,71053,WHITE METAL LANTERN,2,2010-12-07 15:39:00,3.75,17591.0,United Kingdom
16337,537649,71053,WHITE METAL LANTERN,1,2010-12-07 15:48:00,3.75,13807.0,United Kingdom
16355,537650,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-07 15:48:00,2.95,16125.0,United Kingdom
16419,537655,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2010-12-07 16:20:00,2.95,15081.0,United Kingdom
16737,537666,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-12-07 18:36:00,5.91,,United Kingdom
16995,537669,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,2010-12-08 08:58:00,2.95,16863.0,United Kingdom
17061,537674,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2010-12-08 09:51:00,2.95,15628.0,United Kingdom
17083,537678,71053,WHITE METAL LANTERN,25,2010-12-08 09:56:00,3.39,16779.0,United Kingdom
17361,537754,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2010-12-08 11:16:00,2.95,16081.0,United Kingdom
17382,537755,85123A,WHITE HANGING HEART T-LIGHT HOLDER,33,2010-12-08 11:31:00,2.55,16525.0,United Kingdom
17418,537759,71053,WHITE METAL LANTERN,-1,2010-12-08 11:42:00,3.75,13126.0,United Kingdom
17464,537764,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0,2010-12-08 12:06:00,2.95,16893.0,United Kingdom
17553,537769,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0,2010-12-08 12:17:00,2.95,15021.0,United Kingdom
17566,537769,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0,2010-12-08 12:17:00,2.95,15021.0,United Kingdom
17747,537773,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2010-12-08 12:36:00,2.95,16016.0,United Kingdom
18105,537795,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2010-12-08 13:03:00,2.95,17213.0,United Kingdom
18244,537811,71053,WHITE METAL LANTERN,19,2010-12-08 13:30:00,3.39,17262.0,United Kingdom
18501,537823,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-12-08 14:25:00,5.91,,United Kingdom
19031,537828,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-08 14:43:00,2.95,15680.0,United Kingdom
19096,537831,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-08 14:50:00,2.95,17894.0,United Kingdom
19154,537842,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-08 15:12:00,2.95,13140.0,United Kingdom
19167,537843,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2010-12-08 15:16:00,2.95,15713.0,United Kingdom
19501,537866,85123A,WHITE HANGING HEART T-LIGHT HOLDER,30,2010-12-08 16:45:00,2.55,17655.0,United Kingdom
19521,537867,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,2010-12-08 16:48:00,2.95,16717.0,United Kingdom
19639,537879,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-12-09 08:34:00,2.95,14243.0,United Kingdom
19852,537898,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,2010-12-09 10:42:00,2.95,17377.0,United Kingdom
19942,537955,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2010-12-09 11:28:00,2.95,16782.0,United Kingdom
19972,537963,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2010-12-09 11:30:00,2.95,13369.0,United Kingdom
20041,538006,85123A,WHITE HANGING HEART T-LIGHT HOLDER,36,2010-12-09 12:13:00,2.55,14987.0,United Kingdom
20127,538010,71053,WHITE METAL LANTERN,3,2010-12-09 12:20:00,3.75,17526.0,United Kingdom
20190,538012,71053,WHITE METAL LANTERN,1,2010-12-09 12:32:00,3.75,14527.0,United Kingdom
20242,538032,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-09 12:59:00,2.95,14479.0,United Kingdom
20271,538035,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-09 13:03:00,2.95,16065.0,United Kingdom
20440,538053,85123A,WHITE HANGING HEART T-LIGHT HOLDER,36,2010-12-09 13:34:00,2.55,15856.0,United Kingdom
20533,538064,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2010-12-09 13:47:00,2.95,15271.0,United Kingdom
20565,538065,85123A,WHITE HANGING HEART T-LIGHT HOLDER,33,2010-12-09 13:57:00,2.55,13982.0,United Kingdom
21281,538071,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-09 14:09:00,5.91,,United Kingdom
21474,538086,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17,2010-12-09 14:44:00,2.95,12872.0,United Kingdom
21578,538095,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-2,2010-12-09 14:55:00,2.95,17097.0,Spain
21795,538145,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-09 16:08:00,2.95,15211.0,United Kingdom
22285,538157,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0,2010-12-09 16:57:00,2.95,17576.0,United Kingdom
22363,538166,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-09 18:09:00,2.95,17965.0,United Kingdom
22583,538176,85123A,WHITE HANGING HEART T-LIGHT HOLDER,63,2010-12-10 09:48:00,2.55,17675.0,United Kingdom
23080,538177,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-12-10 09:51:00,5.91,,United Kingdom
23146,538182,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-12-10 10:18:00,2.95,17827.0,United Kingdom
23222,538186,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2010-12-10 10:26:00,2.95,13000.0,United Kingdom
23251,538190,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2010-12-10 10:47:00,2.95,17790.0,United Kingdom
23351,538198,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-12-10 11:01:00,2.95,17827.0,United Kingdom
23790,538248,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-10 12:14:00,2.95,18116.0,United Kingdom
23810,538250,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2010-12-10 12:20:00,2.95,18118.0,United Kingdom
23840,538252,85123A,WHITE HANGING HEART T-LIGHT HOLDER,28,2010-12-10 12:29:00,2.55,16019.0,United Kingdom
23901,538260,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-10 12:42:00,2.95,18178.0,United Kingdom
23965,538296,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-10 13:06:00,2.95,13148.0,United Kingdom
24085,538312,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-10 13:48:00,2.95,16727.0,United Kingdom
24854,538349,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,2010-12-10 14:59:00,5.91,,United Kingdom
24911,C538350,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2010-12-10 15:01:00,2.55,13798.0,United Kingdom
25481,538370,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2010-12-12 11:06:00,2.95,16923.0,United Kingdom
25570,538374,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-12-12 11:17:00,2.95,14159.0,United Kingdom
25690,538379,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-12-12 11:26:00,2.95,17126.0,United Kingdom
25704,538379,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-2,2010-12-12 11:26:00,2.95,17126.0,United Kingdom
25800,538403,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2010-12-12 11:46:00,2.95,17211.0,United Kingdom
25961,538437,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-12 12:18:00,2.95,16010.0,United Kingdom
25998,538449,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-12 12:24:00,2.95,17085.0,United Kingdom
26069,538473,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2010-12-12 12:35:00,2.95,13668.0,United Kingdom
26114,538497,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2010-12-12 12:44:00,2.95,14684.0,United Kingdom
26274,538508,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-12-12 13:32:00,2.95,15998.0,United Kingdom
26465,538514,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-12 14:27:00,2.95,15044.0,United Kingdom
26673,538518,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-2,2010-12-12 16:14:00,2.95,14505.0,United Kingdom
27233,538524,85123A,WHITE HANGING HEART T-LIGHT HOLDER,30,2010-12-13 09:35:00,5.91,,United Kingdom
27309,538529,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2010-12-13 10:24:00,2.95,14290.0,United Kingdom
27335,538532,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-13 10:31:00,2.95,13209.0,United Kingdom
27379,538533,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2010-12-13 10:31:00,2.55,14796.0,United Kingdom
27892,538566,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2010-12-13 11:21:00,5.91,,United Kingdom
27969,538592,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2010-12-13 11:47:00,2.95,15854.0,United Kingdom
28000,538596,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-13 12:10:00,2.95,17990.0,United Kingdom
28120,538626,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2010-12-13 12:57:00,2.95,17338.0,United Kingdom
28272,538634,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2010-12-13 13:28:00,2.95,14085.0,United Kingdom
28340,538635,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-12-13 13:32:00,2.95,17303.0,United Kingdom
28557,538641,85123A,WHITE HANGING HEART T-LIGHT HOLDER,30,2010-12-13 14:36:00,2.55,15640.0,United Kingdom
28930,538664,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,2010-12-13 15:46:00,2.55,14733.0,United Kingdom
28962,538671,85123A,WHITE HANGING HEART T-LIGHT HOLDER,31,2010-12-13 16:38:00,2.55,15777.0,United Kingdom
29012,538683,85123A,WHITE HANGING HEART T-LIGHT HOLDER,91,2010-12-13 17:40:00,2.55,14525.0,United Kingdom
29087,538707,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-14 10:38:00,2.95,17894.0,United Kingdom
29193,538710,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,2010-12-14 10:48:00,2.95,18075.0,United Kingdom
29256,C538720,71053,WHITE METAL LANTERN,-6,2010-12-14 11:11:00,3.75,17526.0,United Kingdom
29311,538744,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-14 11:26:00,2.95,15356.0,United Kingdom
29492,538799,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2010-12-14 11:48:00,2.95,15039.0,United Kingdom
29501,538800,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-12-14 11:51:00,2.95,16458.0,United Kingdom
29732,538826,85123A,WHITE HANGING HEART T-LIGHT HOLDER,68,2010-12-14 12:58:00,2.55,12370.0,Cyprus
29866,538827,85123A,WHITE HANGING HEART T-LIGHT HOLDER,34,2010-12-14 12:59:00,2.55,14298.0,United Kingdom
29927,538832,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2010-12-14 13:03:00,2.95,17158.0,United Kingdom
29949,C538834,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0,2010-12-14 13:06:00,2.95,14415.0,United Kingdom
30092,538849,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-14 13:31:00,2.95,14415.0,United Kingdom
30189,538851,85123A,WHITE HANGING HEART T-LIGHT HOLDER,33,2010-12-14 13:32:00,2.55,16556.0,United Kingdom
30195,538852,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2010-12-14 13:33:00,2.95,17372.0,United Kingdom
31077,538894,71053,WHITE METAL LANTERN,2,2010-12-14 17:22:00,3.75,16161.0,United Kingdom
31252,538910,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2010-12-15 10:54:00,2.95,17454.0,United Kingdom
31352,538942,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-3,2010-12-15 11:14:00,2.95,17346.0,United Kingdom
31394,538951,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2010-12-15 11:26:00,2.95,16782.0,United Kingdom
31467,538991,85123A,WHITE HANGING HEART T-LIGHT HOLDER,33,2010-12-15 11:53:00,2.55,17511.0,United Kingdom
31554,538995,85123A,WHITE HANGING HEART T-LIGHT HOLDER,30,2010-12-15 12:05:00,2.55,13458.0,United Kingdom
31656,539002,71053,WHITE METAL LANTERN,-3,2010-12-15 12:30:00,3.75,14527.0,United Kingdom
31690,539007,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2010-12-15 13:00:00,2.95,17894.0,United Kingdom
31752,539010,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2010-12-15 13:24:00,2.95,15005.0,United Kingdom
31874,539019,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2010-12-15 14:12:00,2.95,17551.0,United Kingdom
31921,539030,85123A,WHITE HANGING HEART T-LIGHT HOLDER,23,2010-12-15 14:25:00,2.95,13089.0,United Kingdom
31948,539034,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2010-12-15 14:29:00,2.95,16161.0,United Kingdom
32470,539079,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-16 08:39:00,2.95,17496.0,United Kingdom
32538,539088,85123A,WHITE HANGING HEART T-LIGHT HOLDER,31,2010-12-16 09:45:00,2.55,13093.0,United Kingdom
32569,539089,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2010-12-16 09:46:00,2.95,15246.0,United Kingdom
32680,539103,85123A,WHITE HANGING HEART T-LIGHT HOLDER,100,2010-12-16 10:38:00,2.55,16985.0,United Kingdom
